"","gene","coverage","chromosome","begin","end","orientation","length","position","perc_coverage","Mb_position","Chr"
"4099","Sh07_g011170",101,"Sh07",19670381,19671531,"-",1150,19670956,8.78260869565217,19.670956,"Sh0"
"4100","Sh07_g011180",25,"Sh07",19691652,19692848,"-",1196,19692250,2.09030100334448,19.69225,"Sh0"
"4101","Sh07_g011220",18,"Sh07",19791308,19792246,"-",938,19791777,1.91897654584222,19.791777,"Sh0"
"4102","Sh07_g011250",23,"Sh07",19852420,19855965,"-",3545,19854192.5,0.648801128349788,19.8541925,"Sh0"
"4103","Sh07_g011280",211,"Sh07",19901213,19902238,"+",1025,19901725.5,20.5853658536585,19.9017255,"Sh0"
"4104","Sh07_g011320",55,"Sh07",20006604,20009783,"+",3179,20008193.5,1.73010380622837,20.0081935,"Sh0"
"4105","Sh07_g011360",66,"Sh07",20029916,20037136,"-",7220,20033526,0.914127423822715,20.033526,"Sh0"
"4106","Sh07_g011380",18,"Sh07",20043039,20046366,"+",3327,20044702.5,0.541027953110911,20.0447025,"Sh0"
"4107","Sh07_g011410",18,"Sh07",20159825,20161681,"+",1856,20160753,0.969827586206897,20.160753,"Sh0"
"4108","Sh07_g011520",18,"Sh07",20420819,20422302,"-",1483,20421560.5,1.21375590020229,20.4215605,"Sh0"
"4109","Sh07_g011540",529,"Sh07",20455075,20456441,"-",1366,20455758,38.7262079062958,20.455758,"Sh0"
"4110","Sh07_g011560",18,"Sh07",20514148,20515800,"+",1652,20514974,1.08958837772397,20.514974,"Sh0"
"4111","Sh07_g011580",201,"Sh07",20599947,20601385,"+",1438,20600666,13.9777468706537,20.600666,"Sh0"
"4112","Sh07_g011590",446,"Sh07",20632657,20634910,"-",2253,20633783.5,19.7958277851753,20.6337835,"Sh0"
"4113","Sh07_g011600",357,"Sh07",20639149,20640119,"-",970,20639634,36.8041237113402,20.639634,"Sh0"
"4114","Sh07_g011700",28,"Sh07",20758669,20759534,"-",865,20759101.5,3.23699421965318,20.7591015,"Sh0"
"4115","Sh07_g011730",211,"Sh07",20825021,20825874,"+",853,20825447.5,24.736225087925,20.8254475,"Sh0"
"4116","Sh07_g011750",61,"Sh07",20852499,20860311,"+",7812,20856405,0.780849974398362,20.856405,"Sh0"
"4117","Sh07_g011830",205,"Sh07",20970364,20971053,"+",689,20970708.5,29.7532656023222,20.9707085,"Sh0"
"4118","Sh07_g011840",145,"Sh07",20971058,20971459,"+",401,20971258.5,36.1596009975062,20.9712585,"Sh0"
"4119","Sh07_g011850",20,"Sh07",20983744,20987242,"-",3498,20985493,0.571755288736421,20.985493,"Sh0"
"4120","Sh07_g011930",18,"Sh07",21111604,21114024,"-",2420,21112814,0.743801652892562,21.112814,"Sh0"
"4121","Sh07_g012010",36,"Sh07",21167352,21174936,"-",7584,21171144,0.474683544303797,21.171144,"Sh0"
"4122","Sh07_g012060",36,"Sh07",21258437,21264751,"+",6314,21261594,0.570161545771302,21.261594,"Sh0"
"4123","Sh07_g012090",17,"Sh07",21403522,21413037,"+",9515,21408279.5,0.178665265370468,21.4082795,"Sh0"
"4124","Sh07_g012150",18,"Sh07",21465689,21471130,"-",5441,21468409.5,0.330821540158059,21.4684095,"Sh0"
"4125","Sh07_g012170",94,"Sh07",21474421,21477362,"-",2941,21475891.5,3.19619177150629,21.4758915,"Sh0"
"4126","Sh07_g012190",451,"Sh07",21506221,21514660,"+",8439,21510440.5,5.34423509894537,21.5104405,"Sh0"
"4127","Sh07_g012270",1241,"Sh07",21605589,21610089,"+",4500,21607839,27.5777777777778,21.607839,"Sh0"
"4128","Sh07_g012340",2387,"Sh07",21789906,21793177,"-",3271,21791541.5,72.97462549679,21.7915415,"Sh0"
"4129","Sh07_g012350",304,"Sh07",21793248,21797983,"-",4735,21795615.5,6.42027455121436,21.7956155,"Sh0"
"4130","Sh07_g012410",18,"Sh07",21953033,21954720,"+",1687,21953876.5,1.0669828097214,21.9538765,"Sh0"
"4131","Sh07_g012430",36,"Sh07",21957788,21963391,"+",5603,21960589.5,0.642512939496698,21.9605895,"Sh0"
"4132","Sh07_g012440",18,"Sh07",21987148,21989224,"+",2076,21988186,0.867052023121387,21.988186,"Sh0"
"4133","Sh07_g012450",21,"Sh07",21999972,22003388,"+",3416,22001680,0.614754098360656,22.00168,"Sh0"
"4134","Sh07_g012490",36,"Sh07",22088030,22090125,"+",2095,22089077.5,1.71837708830549,22.0890775,"Sh0"
"4135","Sh07_g012530",392,"Sh07",22144971,22148632,"+",3661,22146801.5,10.7074569789675,22.1468015,"Sh0"
"4136","Sh07_g012550",44,"Sh07",22154621,22156944,"-",2323,22155782.5,1.89410245372363,22.1557825,"Sh0"
"4137","Sh07_g012560",18,"Sh07",22160622,22166447,"-",5825,22163534.5,0.309012875536481,22.1635345,"Sh0"
"4138","Sh07_g012610",78,"Sh07",22258333,22263100,"-",4767,22260716.5,1.63624921334172,22.2607165,"Sh0"
"4139","Sh07_g012640",39,"Sh07",22284479,22288555,"-",4076,22286517,0.956820412168793,22.286517,"Sh0"
"4140","Sh07_g012670",18,"Sh07",22340365,22342157,"-",1792,22341261,1.00446428571429,22.341261,"Sh0"
"4141","Sh07_g012680",38,"Sh07",22353698,22358573,"-",4875,22356135.5,0.779487179487179,22.3561355,"Sh0"
"4142","Sh07_g012800",142,"Sh07",22488450,22492443,"-",3993,22490446.5,3.55622339093413,22.4904465,"Sh0"
"4143","Sh07_g012870",237,"Sh07",22526613,22529954,"+",3341,22528283.5,7.09368452559114,22.5282835,"Sh0"
"4144","Sh07_g012880",21,"Sh07",22534032,22536298,"-",2266,22535165,0.926743159752868,22.535165,"Sh0"
"4145","Sh07_g013070",27,"Sh07",22741927,22744450,"+",2523,22743188.5,1.07015457788347,22.7431885,"Sh0"
"4146","Sh07_g013090",158,"Sh07",22784486,22784668,"+",182,22784577,86.8131868131868,22.784577,"Sh0"
"4147","Sh07_g013100",57,"Sh07",22788389,22792069,"-",3680,22790229,1.54891304347826,22.790229,"Sh0"
"4148","Sh07_g013130",822,"Sh07",22831238,22837846,"-",6608,22834542,12.4394673123487,22.834542,"Sh0"
"4149","Sh07_g013140",81,"Sh07",22891076,22891243,"-",167,22891159.5,48.502994011976,22.8911595,"Sh0"
"4150","Sh07_g013150",185,"Sh07",22891251,22891874,"-",623,22891562.5,29.6950240770466,22.8915625,"Sh0"
"4151","Sh07_g013240",18,"Sh07",23016599,23020088,"-",3489,23018343.5,0.515907136715391,23.0183435,"Sh0"
"4152","Sh07_g013270",24,"Sh07",23065675,23068039,"-",2364,23066857,1.01522842639594,23.066857,"Sh0"
"4153","Sh07_g013320",431,"Sh07",23091705,23100113,"-",8408,23095909,5.12607040913416,23.095909,"Sh0"
"4154","Sh07_g013410",310,"Sh07",23164154,23164673,"+",519,23164413.5,59.7302504816956,23.1644135,"Sh0"
"4155","Sh07_g013420",36,"Sh07",23172222,23176988,"-",4766,23174605,0.755350398657155,23.174605,"Sh0"
"4156","Sh07_g013440",69,"Sh07",23184585,23189966,"-",5381,23187275.5,1.28228953726073,23.1872755,"Sh0"
"4157","Sh07_g013490",103,"Sh07",23272450,23276944,"-",4494,23274697,2.2919448153093,23.274697,"Sh0"
"4158","Sh07_g013510",104,"Sh07",23300368,23301748,"-",1380,23301058,7.53623188405797,23.301058,"Sh0"
"4159","Sh07_g013520",315,"Sh07",23333084,23339478,"-",6394,23336281,4.9264935877385,23.336281,"Sh0"
"4160","Sh07_g013730",18,"Sh07",23596628,23598929,"-",2301,23597778.5,0.782268578878748,23.5977785,"Sh0"
"4161","Sh07_g013750",212,"Sh07",23605759,23606480,"-",721,23606119.5,29.4036061026352,23.6061195,"Sh0"
"4162","Sh07_g013800",18,"Sh07",23669808,23671479,"+",1671,23670643.5,1.07719928186715,23.6706435,"Sh0"
"4163","Sh07_g013830",38,"Sh07",23745387,23748349,"+",2962,23746868,1.2829169480081,23.746868,"Sh0"
"4164","Sh07_g013860",205,"Sh07",23772873,23774204,"+",1331,23773538.5,15.4019534184823,23.7735385,"Sh0"
"4165","Sh07_g013880",18,"Sh07",23800877,23803548,"-",2671,23802212.5,0.673904904530139,23.8022125,"Sh0"
"4166","Sh07_g013910",16,"Sh07",23838416,23842970,"-",4554,23840693,0.351339481774264,23.840693,"Sh0"
"4167","Sh07_g013940",18,"Sh07",23878100,23880467,"-",2367,23879283.5,0.760456273764259,23.8792835,"Sh0"
"4168","Sh07_g013960",37,"Sh07",23889254,23895266,"+",6012,23892260,0.615435795076514,23.89226,"Sh0"
"4169","Sh07_g013980",923,"Sh07",23919759,23932322,"-",12563,23926040.5,7.34697126482528,23.9260405,"Sh0"
"4170","Sh07_g014000",19,"Sh07",23942295,23943305,"+",1010,23942800,1.88118811881188,23.9428,"Sh0"
"4171","Sh07_g014010",196,"Sh07",23986074,23990673,"+",4599,23988373.5,4.26179604261796,23.9883735,"Sh0"
"4172","Sh07_g014040",43,"Sh07",24053178,24055213,"-",2035,24054195.5,2.11302211302211,24.0541955,"Sh0"
"4173","Sh07_g014060",19,"Sh07",24065829,24066995,"-",1166,24066412,1.6295025728988,24.066412,"Sh0"
"4174","Sh07_g014130",18,"Sh07",24160064,24160701,"+",637,24160382.5,2.82574568288854,24.1603825,"Sh0"
"4175","Sh07_g014210",355,"Sh07",24229175,24234322,"-",5147,24231748.5,6.89722168253352,24.2317485,"Sh0"
"4176","Sh07_g014300",18,"Sh07",24372102,24373637,"+",1535,24372869.5,1.17263843648208,24.3728695,"Sh0"
"4177","Sh07_g014320",363,"Sh07",24392176,24399552,"-",7376,24395864,4.92136659436009,24.395864,"Sh0"
"4178","Sh07_g014350",18,"Sh07",24414107,24422784,"-",8677,24418445.5,0.207444969459491,24.4184455,"Sh0"
"4179","Sh07_g014400",21,"Sh07",24469977,24472613,"+",2636,24471295,0.796661608497724,24.471295,"Sh0"
"4180","Sh07_g014440",1120,"Sh07",24507935,24510086,"-",2151,24509010.5,52.0688052068805,24.5090105,"Sh0"
"4181","Sh07_g014480",31,"Sh07",24617052,24617621,"-",569,24617336.5,5.4481546572935,24.6173365,"Sh0"
"4182","Sh07_g014530",20,"Sh07",24665806,24669703,"-",3897,24667754.5,0.513215293815756,24.6677545,"Sh0"
"4183","Sh07_g014560",18,"Sh07",24727729,24731561,"-",3832,24729645,0.46972860125261,24.729645,"Sh0"
"4184","Sh07_g014580",132,"Sh07",24738519,24739088,"+",569,24738803.5,23.1985940246046,24.7388035,"Sh0"
"4185","Sh07_g014590",48,"Sh07",24740149,24742302,"-",2153,24741225.5,2.22944728286112,24.7412255,"Sh0"
"4186","Sh07_g014620",560,"Sh07",24757345,24762883,"+",5538,24760114,10.1119537739256,24.760114,"Sh0"
"4187","Sh07_g014630",1129,"Sh07",24764650,24766539,"-",1889,24765594.5,59.7670725251456,24.7655945,"Sh0"
"4188","Sh07_g014640",18,"Sh07",24766687,24771217,"+",4530,24768952,0.397350993377483,24.768952,"Sh0"
"4189","Sh07_g014680",1307,"Sh07",24836905,24839097,"-",2192,24838001,59.6259124087591,24.838001,"Sh0"
"4190","Sh07_g014690",212,"Sh07",24841175,24842963,"-",1788,24842069,11.8568232662192,24.842069,"Sh0"
"4191","Sh07_g014780",18,"Sh07",24945469,24948304,"+",2835,24946886.5,0.634920634920635,24.9468865,"Sh0"
"4192","Sh07_g014790",18,"Sh07",24952225,24957379,"-",5154,24954802,0.349243306169965,24.954802,"Sh0"
"4193","Sh07_g014960",1752,"Sh07",25232306,25235297,"-",2991,25233801.5,58.5757271815446,25.2338015,"Sh0"
"4194","Sh07_g014970",154,"Sh07",25237641,25237853,"+",212,25237747,72.6415094339623,25.237747,"Sh0"
"4195","Sh07_g015000",2719,"Sh07",25302797,25306602,"-",3805,25304699.5,71.4586070959264,25.3046995,"Sh0"
"4196","Sh07_g015010",212,"Sh07",25307270,25308635,"+",1365,25307952.5,15.5311355311355,25.3079525,"Sh0"
"4197","Sh07_g015060",47,"Sh07",25353000,25355578,"+",2578,25354289,1.82311869666408,25.354289,"Sh0"
"4198","Sh07_g015140",211,"Sh07",25533824,25536925,"+",3101,25535374.5,6.80425669138987,25.5353745,"Sh0"
"4199","Sh07_g015180",18,"Sh07",25604220,25608249,"+",4029,25606234.5,0.446760982874162,25.6062345,"Sh0"
"4200","Sh07_g015200",18,"Sh07",25646093,25650375,"-",4282,25648234,0.420364315740308,25.648234,"Sh0"
"4201","Sh07_g015260",18,"Sh07",25781921,25785478,"-",3557,25783699.5,0.506044419454597,25.7836995,"Sh0"
"4202","Sh07_g015280",19,"Sh07",25793502,25796507,"+",3005,25795004.5,0.632279534109817,25.7950045,"Sh0"
"4203","Sh07_g015290",170,"Sh07",25796509,25804695,"+",8186,25800602,2.07671634497923,25.800602,"Sh0"
"4204","Sh07_g015300",19,"Sh07",25819544,25826378,"-",6834,25822961,0.278021656423764,25.822961,"Sh0"
"4205","Sh07_g015310",525,"Sh07",25837960,25842272,"+",4312,25840116,12.1753246753247,25.840116,"Sh0"
"4206","Sh07_g015330",19,"Sh07",25882260,25883524,"+",1264,25882892,1.50316455696203,25.882892,"Sh0"
"4207","Sh07_g015370",150,"Sh07",25933647,25935637,"-",1990,25934642,7.53768844221105,25.934642,"Sh0"
"4208","Sh07_g015380",18,"Sh07",25941374,25945230,"-",3856,25943302,0.466804979253112,25.943302,"Sh0"
"4209","Sh07_g015390",17,"Sh07",25946797,25949896,"+",3099,25948346.5,0.548564052920297,25.9483465,"Sh0"
"4210","Sh07_g015410",18,"Sh07",25961542,25962772,"+",1230,25962157,1.46341463414634,25.962157,"Sh0"
"4211","Sh07_g015450",334,"Sh07",25987778,25990802,"+",3024,25989290,11.0449735449735,25.98929,"Sh0"
"4212","Sh07_g015460",18,"Sh07",25990883,25992158,"+",1275,25991520.5,1.41176470588235,25.9915205,"Sh0"
"4213","Sh07_g015470",161,"Sh07",26029395,26032855,"-",3460,26031125,4.65317919075144,26.031125,"Sh0"
"4214","Sh07_g015540",18,"Sh07",26109569,26111948,"-",2379,26110758.5,0.756620428751576,26.1107585,"Sh0"
"4215","Sh07_g015600",18,"Sh07",26220509,26228237,"+",7728,26224373,0.232919254658385,26.224373,"Sh0"
"4216","Sh07_g015610",18,"Sh07",26262951,26264870,"-",1919,26263910.5,0.937988535695675,26.2639105,"Sh0"
"4217","Sh07_g015650",429,"Sh07",26322111,26322902,"-",791,26322506.5,54.2351453855879,26.3225065,"Sh0"
"4218","Sh07_g015690",105,"Sh07",26382427,26382777,"-",350,26382602,30,26.382602,"Sh0"
"4219","Sh07_g015700",304,"Sh07",26382801,26383548,"-",747,26383174.5,40.6961178045515,26.3831745,"Sh0"
"4220","Sh07_g015710",2919,"Sh07",26383550,26389660,"-",6110,26386605,47.7741407528642,26.386605,"Sh0"
"4221","Sh07_g015720",23,"Sh07",26417217,26417378,"+",161,26417297.5,14.2857142857143,26.4172975,"Sh0"
"4222","Sh07_g015800",1009,"Sh07",26497607,26500288,"+",2681,26498947.5,37.6352107422603,26.4989475,"Sh0"
"4223","Sh07_g015830",19,"Sh07",26520043,26521047,"+",1004,26520545,1.89243027888446,26.520545,"Sh0"
"4224","Sh07_g015890",18,"Sh07",26583161,26584557,"-",1396,26583859,1.28939828080229,26.583859,"Sh0"
"4225","Sh07_g016000",208,"Sh07",26679926,26680916,"-",990,26680421,21.010101010101,26.680421,"Sh0"
"4226","Sh07_g016010",893,"Sh07",26688364,26690038,"-",1674,26689201,53.3452807646356,26.689201,"Sh0"
"4227","Sh07_g016020",18,"Sh07",26713838,26714223,"-",385,26714030.5,4.67532467532468,26.7140305,"Sh0"
"4228","Sh07_g016080",18,"Sh07",26758439,26764515,"-",6076,26761477,0.296247531270573,26.761477,"Sh0"
"4229","Sh07_g016100",42,"Sh07",26805430,26808038,"-",2608,26806734,1.61042944785276,26.806734,"Sh0"
"4230","Sh07_g016110",36,"Sh07",26808040,26831585,"-",23545,26819812.5,0.152898704608197,26.8198125,"Sh0"
"4231","Sh07_g016190",18,"Sh07",26987002,26988936,"-",1934,26987969,0.93071354705274,26.987969,"Sh0"
"4232","Sh07_g016200",18,"Sh07",26990364,26994381,"-",4017,26992372.5,0.448095593726662,26.9923725,"Sh0"
"4233","Sh07_g016210",36,"Sh07",27015189,27019029,"+",3840,27017109,0.9375,27.017109,"Sh0"
"4234","Sh07_g016220",144,"Sh07",27041330,27042577,"+",1247,27041953.5,11.5477145148356,27.0419535,"Sh0"
"4235","Sh07_g016310",19,"Sh07",27126283,27131442,"-",5159,27128862.5,0.368288427989921,27.1288625,"Sh0"
"4236","Sh07_g016330",715,"Sh07",27185081,27190560,"+",5479,27187820.5,13.0498266106954,27.1878205,"Sh0"
"4237","Sh07_g016450",108,"Sh07",27291697,27293093,"+",1396,27292395,7.73638968481375,27.292395,"Sh0"
"4238","Sh07_g016460",238,"Sh07",27352566,27354490,"-",1924,27353528,12.3700623700624,27.353528,"Sh0"
"4239","Sh07_g016470",68,"Sh07",27359292,27359690,"-",398,27359491,17.0854271356784,27.359491,"Sh0"
"4240","Sh07_g016480",104,"Sh07",27360583,27360867,"-",284,27360725,36.6197183098592,27.360725,"Sh0"
"4241","Sh07_g016490",826,"Sh07",27361497,27365125,"-",3628,27363311,22.7673649393605,27.363311,"Sh0"
"4242","Sh07_g016500",118,"Sh07",27373955,27374318,"+",363,27374136.5,32.5068870523416,27.3741365,"Sh0"
"4243","Sh07_g016550",18,"Sh07",27517847,27519449,"-",1602,27518648,1.12359550561798,27.518648,"Sh0"
"4244","Sh07_g016730",17,"Sh07",27771918,27772913,"-",995,27772415.5,1.70854271356784,27.7724155,"Sh0"
"4245","Sh07_g016750",411,"Sh07",27845032,27853851,"-",8819,27849441.5,4.66039233473183,27.8494415,"Sh0"
"4246","Sh07_g016760",1092,"Sh07",27913597,27917766,"+",4169,27915681.5,26.1933317342288,27.9156815,"Sh0"
"4247","Sh07_g016770",320,"Sh07",27917834,27919064,"-",1230,27918449,26.0162601626016,27.918449,"Sh0"
"4248","Sh07_g016780",427,"Sh07",27919077,27921186,"+",2109,27920131.5,20.2465623518255,27.9201315,"Sh0"
"4249","Sh07_g016790",578,"Sh07",27922701,27925071,"-",2370,27923886,24.3881856540084,27.923886,"Sh0"
"4250","Sh07_g016800",109,"Sh07",27964269,27967155,"+",2886,27965712,3.77685377685378,27.965712,"Sh0"
"4251","Sh07_g016870",156,"Sh07",28024011,28026307,"-",2296,28025159,6.79442508710801,28.025159,"Sh0"
"4252","Sh07_g016890",18,"Sh07",28079893,28081363,"-",1470,28080628,1.22448979591837,28.080628,"Sh0"
"4253","Sh07_g016920",18,"Sh07",28132673,28133843,"+",1170,28133258,1.53846153846154,28.133258,"Sh0"
"4254","Sh07_g016960",37,"Sh07",28144261,28147732,"-",3471,28145996.5,1.06597522327859,28.1459965,"Sh0"
"4255","Sh07_g016980",18,"Sh07",28172418,28175905,"+",3487,28174161.5,0.516203039862346,28.1741615,"Sh0"
"4256","Sh07_g017000",74,"Sh07",28217133,28222341,"-",5208,28219737,1.42089093701997,28.219737,"Sh0"
"4257","Sh07_g017120",18,"Sh07",28374986,28376739,"-",1753,28375862.5,1.02681118083286,28.3758625,"Sh0"
"4258","Sh07_g017160",1075,"Sh07",28468220,28471442,"-",3222,28469831,33.3643699565487,28.469831,"Sh0"
"4259","Sh07_g017180",272,"Sh07",28516038,28521932,"+",5894,28518985,4.61486257210723,28.518985,"Sh0"
"4260","Sh07_g017230",18,"Sh07",28565544,28565966,"-",422,28565755,4.2654028436019,28.565755,"Sh0"
"4261","Sh07_g017240",205,"Sh07",28567916,28573206,"-",5290,28570561,3.87523629489603,28.570561,"Sh0"
"4262","Sh07_g017300",18,"Sh07",28615256,28623744,"+",8488,28619500,0.212064090480679,28.6195,"Sh0"
"4263","Sh07_g017380",60,"Sh07",28757514,28760086,"+",2572,28758800,2.33281493001555,28.7588,"Sh0"
"4264","Sh07_g017410",313,"Sh07",28818275,28824540,"-",6265,28821407.5,4.99600957701516,28.8214075,"Sh0"
"4265","Sh07_g017490",152,"Sh07",28965626,28969464,"+",3838,28967545,3.96039603960396,28.967545,"Sh0"
"4266","Sh07_g017580",87,"Sh07",29076526,29077766,"-",1240,29077146,7.01612903225806,29.077146,"Sh0"
"4267","Sh07_g017610",1793,"Sh07",29109323,29122808,"+",13485,29116065.5,13.2962550982573,29.1160655,"Sh0"
"4268","Sh07_g017670",128,"Sh07",29192883,29198424,"-",5541,29195653.5,2.31005233712326,29.1956535,"Sh0"
"4269","Sh07_g017790",35,"Sh07",29337507,29343122,"-",5615,29340314.5,0.6233303650935,29.3403145,"Sh0"
"4270","Sh07_g017860",37,"Sh07",29413114,29416499,"-",3385,29414806.5,1.0930576070901,29.4148065,"Sh0"
"4271","Sh07_g017890",22,"Sh07",29429384,29431435,"-",2051,29430409.5,1.07264748902974,29.4304095,"Sh0"
"4272","Sh07_g017960",185,"Sh07",29554311,29556615,"-",2304,29555463,8.02951388888889,29.555463,"Sh0"
"4273","Sh07_g017970",782,"Sh07",29557719,29559884,"-",2165,29558801.5,36.1200923787529,29.5588015,"Sh0"
"4274","Sh07_g018020",400,"Sh07",29667217,29668041,"+",824,29667629,48.5436893203884,29.667629,"Sh0"
"4275","Sh07_g018040",156,"Sh07",29691002,29695020,"-",4018,29693011,3.88252862120458,29.693011,"Sh0"
"4276","Sh07_g018050",19,"Sh07",29699762,29701291,"+",1529,29700526.5,1.24264224983649,29.7005265,"Sh0"
"4277","Sh07_g018060",63,"Sh07",29702316,29704272,"-",1956,29703294,3.22085889570552,29.703294,"Sh0"
"4278","Sh07_g018070",455,"Sh07",29771701,29775036,"-",3335,29773368.5,13.6431784107946,29.7733685,"Sh0"
"4279","Sh07_g018110",36,"Sh07",29830358,29837278,"-",6920,29833818,0.520231213872832,29.833818,"Sh0"
"4280","Sh07_g018170",18,"Sh07",29955461,29957588,"-",2127,29956524.5,0.846262341325811,29.9565245,"Sh0"
"4281","Sh07_g018210",19,"Sh07",30037217,30040653,"+",3436,30038935,0.552968568102445,30.038935,"Sh0"
"4282","Sh07_g018220",18,"Sh07",30042419,30051302,"+",8883,30046860.5,0.202634245187437,30.0468605,"Sh0"
"4283","Sh08_g000050",323,"Sh08",35577,37425,"-",1848,36501,17.478354978355,0.036501,"Sh0"
"4284","Sh08_g000100",36,"Sh08",68112,68442,"+",330,68277,10.9090909090909,0.068277,"Sh0"
"4285","Sh08_g000130",116,"Sh08",89677,96077,"-",6400,92877,1.8125,0.092877,"Sh0"
"4286","Sh08_g000170",19,"Sh08",198608,203362,"+",4754,200985,0.399663441312579,0.200985,"Sh0"
"4287","Sh08_g000260",18,"Sh08",345328,348860,"+",3532,347094,0.509626274065685,0.347094,"Sh0"
"4288","Sh08_g000270",18,"Sh08",354939,357108,"+",2169,356023.5,0.829875518672199,0.3560235,"Sh0"
"4289","Sh08_g000400",39,"Sh08",528355,532410,"+",4055,530382.5,0.961775585696671,0.5303825,"Sh0"
"4290","Sh08_g000480",65,"Sh08",685245,688900,"+",3655,687072.5,1.77838577291382,0.6870725,"Sh0"
"4291","Sh08_g000570",21,"Sh08",773809,777468,"+",3659,775638.5,0.573927302541678,0.7756385,"Sh0"
"4292","Sh08_g000580",20,"Sh08",779268,781225,"-",1957,780246.5,1.02197240674502,0.7802465,"Sh0"
"4293","Sh08_g000630",53,"Sh08",825785,828203,"-",2418,826994,2.191894127378,0.826994,"Sh0"
"4294","Sh08_g000780",20,"Sh08",997528,1010997,"+",13469,1004262.5,0.148489123171728,1.0042625,"Sh0"
"4295","Sh08_g000810",147,"Sh08",1057853,1063593,"-",5740,1060723,2.5609756097561,1.060723,"Sh0"
"4296","Sh08_g000850",18,"Sh08",1104999,1108403,"-",3404,1106701,0.528789659224442,1.106701,"Sh0"
"4297","Sh08_g000880",37,"Sh08",1136949,1146104,"+",9155,1141526.5,0.404150737302021,1.1415265,"Sh0"
"4298","Sh08_g000890",18,"Sh08",1150782,1153380,"+",2598,1152081,0.69284064665127,1.152081,"Sh0"
"4299","Sh08_g000920",110,"Sh08",1169009,1171596,"-",2587,1170302.5,4.25202937765752,1.1703025,"Sh0"
"4300","Sh08_g000930",105,"Sh08",1174373,1179442,"+",5069,1176907.5,2.0714144801736,1.1769075,"Sh0"
"4301","Sh08_g000960",423,"Sh08",1195010,1200611,"+",5601,1197810.5,7.55222281735404,1.1978105,"Sh0"
"4302","Sh08_g000980",77,"Sh08",1259545,1261191,"-",1646,1260368,4.67800729040097,1.260368,"Sh0"
"4303","Sh08_g000990",72,"Sh08",1266294,1268148,"-",1854,1267221,3.88349514563107,1.267221,"Sh0"
"4304","Sh08_g001000",66,"Sh08",1276686,1277471,"+",785,1277078.5,8.40764331210191,1.2770785,"Sh0"
"4305","Sh08_g001030",18,"Sh08",1304580,1307462,"-",2882,1306021,0.624566273421235,1.306021,"Sh0"
"4306","Sh08_g001200",18,"Sh08",1567320,1567816,"-",496,1567568,3.62903225806452,1.567568,"Sh0"
"4307","Sh08_g001210",159,"Sh08",1568170,1573621,"+",5451,1570895.5,2.91689598238855,1.5708955,"Sh0"
"4308","Sh08_g001330",18,"Sh08",1904734,1908519,"+",3785,1906626.5,0.47556142668428,1.9066265,"Sh0"
"4309","Sh08_g001340",134,"Sh08",1921640,1925515,"+",3875,1923577.5,3.45806451612903,1.9235775,"Sh0"
"4310","Sh08_g001430",18,"Sh08",1974215,1977704,"-",3489,1975959.5,0.515907136715391,1.9759595,"Sh0"
"4311","Sh08_g001460",18,"Sh08",2023844,2024776,"+",932,2024310,1.931330472103,2.02431,"Sh0"
"4312","Sh08_g001530",18,"Sh08",2120465,2123259,"+",2794,2121862,0.644237652111668,2.121862,"Sh0"
"4313","Sh08_g001560",18,"Sh08",2161831,2165898,"-",4067,2163864.5,0.442586673223506,2.1638645,"Sh0"
"4314","Sh08_g001630",18,"Sh08",2245606,2249172,"+",3566,2247389,0.504767246214246,2.247389,"Sh0"
"4315","Sh08_g001650",229,"Sh08",2284596,2287632,"+",3036,2286114,7.54281949934124,2.286114,"Sh0"
"4316","Sh08_g001680",21,"Sh08",2349158,2350605,"-",1447,2349881.5,1.45127850725639,2.3498815,"Sh0"
"4317","Sh08_g001700",69,"Sh08",2357515,2357886,"-",371,2357700.5,18.5983827493261,2.3577005,"Sh0"
"4318","Sh08_g001710",250,"Sh08",2411154,2415964,"+",4810,2413559,5.1975051975052,2.413559,"Sh0"
"4319","Sh08_g001720",18,"Sh08",2516534,2519146,"+",2612,2517840,0.689127105666156,2.51784,"Sh0"
"4320","Sh08_g001750",18,"Sh08",2536444,2538295,"-",1851,2537369.5,0.972447325769854,2.5373695,"Sh0"
"4321","Sh08_g001760",20,"Sh08",2541304,2542071,"+",767,2541687.5,2.60756192959583,2.5416875,"Sh0"
"4322","Sh08_g001830",40,"Sh08",2630144,2631440,"+",1296,2630792,3.08641975308642,2.630792,"Sh0"
"4323","Sh08_g001840",204,"Sh08",2650040,2652799,"+",2759,2651419.5,7.3939833272925,2.6514195,"Sh0"
"4324","Sh08_g001950",151,"Sh08",2808643,2809400,"+",757,2809021.5,19.9471598414795,2.8090215,"Sh0"
"4325","Sh08_g002060",18,"Sh08",3002543,3005059,"+",2516,3003801,0.715421303656598,3.003801,"Sh0"
"4326","Sh08_g002240",19,"Sh08",3207091,3208106,"-",1015,3207598.5,1.87192118226601,3.2075985,"Sh0"
"4327","Sh08_g002270",18,"Sh08",3279541,3280085,"+",544,3279813,3.30882352941176,3.279813,"Sh0"
"4328","Sh08_g002300",19,"Sh08",3298756,3300028,"+",1272,3299392,1.4937106918239,3.299392,"Sh0"
"4329","Sh08_g002400",36,"Sh08",3501173,3503801,"+",2628,3502487,1.36986301369863,3.502487,"Sh0"
